LGD2014NAME,2015 Default Urban/Rural,SA2011,SOA2001_name,Multiple Deprivation Measure Rank,Income Domain Rank,Employment Domain Rank,Health Deprivation and Disability Domain Rank,"Education, Skills and Training Domain Rank",Access to Services Domain Rank,Living Environment Domain Rank,Crime and Disorder Domain Rank,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,Proportion of the working age population who are employment deprived,Religion: Catholic,Religion: Presbyterian Church in Ireland,Religion: Church of Ireland,Religion: Methodist Church in Ireland,Religion: Other Christian (including Christian related),Religion: Other religions,Religion: No religion,Religion: Religion not stated,Religion: Catholic (%),Religion: Presbyterian Church in Ireland (%),Religion: Church of Ireland (%),Religion: Methodist Church in Ireland (%),Religion: Other Christian (including Christian related) (%),Religion: Other religions (%),Religion: No religion (%),Religion: Religion not stated (%),Area_Code,MYE,centre_x,centre_y,Type of long-term condition: Deafness or partial hearing loss (%),Type of long-term condition: Blindness or partial sight loss (%),Type of long-term condition: Communication difficulty (%),Type of long-term condition: A mobility or dexterity difficulty (%),"Type of long-term condition: A learning, intellectual, social or behavioural difficulty (%)","Type of long-term condition: An emotional, psychological or mental health condition (%)",Type of long-term condition: Long-term pain or discomfort (%),Type of long-term condition: Shortness of breath or difficulty breathing (%),Type of long-term condition: Frequent periods of confusion or memory loss (%),Type of long-term condition: A chronic illness (%),Type of long-term condition: Other condition (%),Type of long-term condition: No condition (%)
"Newry, Mourne and Down",Rural,N00003836,Rostrevor,2752,2543,2071,2650,3302,1457,1712,2607,0.12,0.2,280,10,8,0,0,1,22,22,81.63,2.92,2.33,0.0,0.0,0.29,6.41,6.41,N00003836,351,-6.205886772062138,54.102849169708264,5.54,2.33,1.46,11.95,1.46,4.08,8.16,10.5,0.58,9.91,4.37,64.72
"Newry, Mourne and Down",Rural,N00003837,Rostrevor,2396,1481,2495,2591,2998,1265,1718,2804,0.15,0.17,286,2,3,0,6,0,13,27,84.87,0.59,0.89,0.0,1.78,0.0,3.86,8.01,N00003837,326,-6.1897320834852545,54.10271495489854,4.15,1.19,0.59,8.31,2.08,4.15,6.53,8.01,1.19,5.34,5.04,72.11
"Newry, Mourne and Down",Rural,N00003838,Rostrevor,2304,933,3049,2989,3735,1595,573,3034,0.17,0.14,322,6,10,0,8,1,37,25,78.73,1.47,2.44,0.0,1.96,0.24,9.05,6.11,N00003838,408,-6.200910295519499,54.0998456547902,5.13,1.22,2.93,9.54,1.96,7.58,7.82,8.07,1.96,6.11,4.65,69.93
"Newry, Mourne and Down",Rural,N00003839,Rostrevor,2155,676,3924,4285,3895,831,437,2255,0.19,0.1,272,12,11,3,20,4,52,35,66.5,2.93,2.69,0.73,4.89,0.98,12.71,8.56,N00003839,384,-6.156198268350565,54.111092061090645,5.13,2.44,2.2,8.07,1.96,3.67,7.33,6.6,1.96,2.93,4.89,73.35
"Newry, Mourne and Down",Rural,N00003840,Rostrevor,3010,2759,3013,3597,3026,760,912,3598,0.11,0.14,328,23,15,2,2,1,27,30,76.64,5.37,3.5,0.47,0.47,0.23,6.31,7.01,N00003840,457,-6.140117905318417,54.080536980065816,5.37,1.4,1.17,9.11,0.93,3.74,9.35,8.18,2.34,7.24,3.5,71.96
"Newry, Mourne and Down",Urban,N00003841,Seaview_1,2921,2251,2384,2727,3133,3529,891,2007,0.13,0.18,187,3,17,0,5,0,12,32,73.05,1.17,6.64,0.0,1.95,0.0,4.69,12.5,N00003841,283,-6.246209624293021,54.10090103260782,6.64,1.56,0.78,14.06,0.78,4.69,13.28,5.86,1.56,7.03,3.52,66.02
"Newry, Mourne and Down",Urban,N00003842,Seaview_1,3169,1457,3202,3859,4311,1538,2468,3714,0.15,0.14,323,12,14,0,7,0,40,17,78.21,2.91,3.39,0.0,1.69,0.0,9.69,4.12,N00003842,450,-6.233527559650141,54.10288986999076,3.63,0.24,0.73,9.69,0.97,4.12,7.75,5.57,1.21,5.08,3.87,76.51
"Newry, Mourne and Down",Urban,N00003843,Seaview_1,1821,2912,1353,1170,3976,4143,16,376,0.11,0.27,241,13,12,0,4,3,14,61,69.25,3.74,3.45,0.0,1.15,0.86,4.02,17.53,N00003843,343,-6.24936012513244,54.09906004244895,8.05,2.01,6.32,20.4,5.17,10.34,14.08,5.75,5.46,9.2,8.62,56.32
"Newry, Mourne and Down",Urban,N00003844,Seaview_1,3548,1816,4236,4411,4197,1498,1872,2954,0.14,0.08,390,8,27,3,27,1,21,38,75.73,1.55,5.24,0.58,5.24,0.19,4.08,7.38,N00003844,542,-6.23911458121897,54.10598182026258,4.66,0.58,1.55,8.35,1.94,2.52,7.18,7.38,1.94,4.08,3.88,76.7
"Newry, Mourne and Down",Urban,N00003845,Seaview_2,1344,384,1718,2079,2330,2157,2535,2558,0.21,0.23,235,2,15,0,3,0,10,34,78.6,0.67,5.02,0.0,1.0,0.0,3.34,11.37,N00003845,332,-6.2463003163538104,54.10490973744979,5.02,1.0,1.67,14.05,2.01,4.68,12.37,8.7,2.68,5.69,4.35,67.56
"Newry, Mourne and Down",Urban,N00003846,Seaview_2,1701,1732,1462,1164,1631,3254,1569,1485,0.14,0.25,493,7,6,2,9,3,43,57,79.52,1.13,0.97,0.32,1.45,0.48,6.94,9.19,N00003846,628,-6.25043733781711,54.10288542325464,7.9,3.23,2.58,14.35,2.1,6.94,14.52,10.16,2.9,6.29,3.71,64.68
"Newry, Mourne and Down",Urban,N00003847,Seaview_2,1583,2176,1092,1262,1590,2073,1788,1424,0.13,0.3,194,7,8,0,6,2,13,24,76.38,2.76,3.15,0.0,2.36,0.79,5.12,9.45,N00003847,252,-6.24484930380525,54.103064586438,5.91,1.18,1.18,19.29,1.57,7.09,17.32,11.81,2.36,9.06,7.48,57.87
"Newry, Mourne and Down",Urban,N00003848,Seaview_2,1415,639,1540,1929,1720,2609,1649,3071,0.19,0.24,306,4,6,0,1,0,22,23,84.53,1.1,1.66,0.0,0.28,0.0,6.08,6.35,N00003848,338,-6.2486339347298046,54.105770370588814,4.97,0.55,1.66,11.33,1.38,8.01,10.22,8.56,3.87,6.91,5.8,67.4
"Newry, Mourne and Down",Rural,N00003849,Silver Bridge_1,976,354,1817,2496,2681,174,831,3505,0.22,0.22,504,4,2,0,1,7,34,56,82.89,0.66,0.33,0.0,0.16,1.15,5.59,9.21,N00003849,612,-6.491615081566283,54.08437214690474,3.78,2.14,1.64,8.72,2.3,5.1,6.91,7.73,1.32,5.26,4.93,73.68
"Newry, Mourne and Down",Rural,N00003850,Silver Bridge_1,519,41,1333,1626,2032,648,3171,2513,0.3,0.27,358,1,0,0,0,0,6,50,86.27,0.24,0.0,0.0,0.0,0.0,1.45,12.05,N00003850,467,-6.528159099652792,54.094564439049435,1.93,1.45,0.72,10.6,1.45,5.78,8.43,7.47,1.2,4.58,3.61,74.94
"Newry, Mourne and Down",Rural,N00003851,Silver Bridge_1,685,43,1852,2771,3274,276,2709,3536,0.3,0.22,418,3,2,0,2,0,9,36,88.94,0.64,0.43,0.0,0.43,0.0,1.91,7.66,N00003851,532,-6.540039563472998,54.11751253556434,2.34,1.06,1.7,8.3,3.19,4.47,7.45,7.66,1.06,4.26,4.26,73.4
"Newry, Mourne and Down",Rural,N00003852,Silver Bridge_1,623,229,812,1060,1811,835,3391,3320,0.23,0.33,305,0,1,2,0,2,11,31,86.65,0.0,0.28,0.57,0.0,0.57,3.13,8.81,N00003852,422,-6.4822963928665125,54.10814560707007,3.69,1.7,1.42,16.48,2.27,7.39,11.93,9.38,2.27,6.53,5.11,67.05
"Newry, Mourne and Down",Rural,N00003853,Silver Bridge_2,2109,1169,2248,2833,3411,527,3498,3019,0.16,0.19,451,3,2,0,0,3,4,51,87.74,0.58,0.39,0.0,0.0,0.58,0.78,9.92,N00003853,586,-6.459415149703594,54.14460271763183,4.67,1.75,1.36,7.98,1.17,3.5,8.37,5.84,0.58,3.7,4.09,74.12
"Newry, Mourne and Down",Rural,N00003854,Silver Bridge_2,1094,378,2247,3348,2807,84,847,4388,0.21,0.19,408,2,0,0,1,2,12,41,87.55,0.43,0.0,0.0,0.21,0.43,2.58,8.8,N00003854,552,-6.5112077709943765,54.13636864149752,2.58,0.43,1.72,8.58,1.07,3.86,7.51,5.58,1.29,3.65,4.72,76.39
"Newry, Mourne and Down",Rural,N00003855,Silver Bridge_2,1483,344,2259,2701,3390,655,4088,4235,0.22,0.19,406,1,0,2,1,0,8,36,89.43,0.22,0.0,0.44,0.22,0.0,1.76,7.93,N00003855,536,-6.491353891607467,54.11683104104964,4.41,1.32,1.1,11.23,2.2,4.19,9.47,7.49,1.76,4.41,3.96,74.23
"Newry, Mourne and Down",Rural,N00003856,Silver Bridge_2,1305,265,2213,3516,3809,330,2297,4133,0.23,0.19,415,3,3,1,0,0,21,48,84.52,0.61,0.61,0.2,0.0,0.0,4.28,9.78,N00003856,497,-6.467976359154151,54.11375931606831,4.89,1.22,1.43,7.94,1.43,2.65,7.33,6.52,2.04,3.46,3.67,78.62
"Newry, Mourne and Down",Rural,N00003857,Spelga,2289,1177,2981,2819,3049,779,2485,2204,0.16,0.15,453,31,11,0,12,0,11,29,82.82,5.67,2.01,0.0,2.19,0.0,2.01,5.3,N00003857,583,-6.1511162834326925,54.20355300740066,3.47,0.18,1.1,6.95,1.46,3.29,7.86,5.48,1.1,3.11,4.02,74.41
"Newry, Mourne and Down",Rural,N00003858,Spelga,1761,997,2752,2471,2201,560,1183,2780,0.17,0.16,423,20,10,0,2,0,7,49,82.78,3.91,1.96,0.0,0.39,0.0,1.37,9.59,N00003858,614,-6.092680098108389,54.17520058729727,2.54,0.39,1.37,9.78,1.17,4.7,7.05,5.87,0.59,5.28,3.72,75.15
"Newry, Mourne and Down",Rural,N00003859,Spelga,1214,1038,1246,1518,1318,1198,1410,2130,0.17,0.28,396,14,2,0,3,0,11,52,82.85,2.93,0.42,0.0,0.63,0.0,2.3,10.88,N00003859,491,-6.139402522680585,54.197172812122226,4.18,1.46,1.46,11.09,2.3,5.65,12.13,8.37,2.09,4.39,6.49,69.87
"Newry, Mourne and Down",Rural,N00003860,Spelga,1514,481,2129,2305,2960,922,3261,2670,0.2,0.19,948,37,4,0,11,0,25,45,88.6,3.46,0.37,0.0,1.03,0.0,2.34,4.21,N00003860,1074,-6.151635407930063,54.16995634501555,2.52,1.5,1.59,8.13,2.15,4.39,7.66,6.07,1.68,4.95,3.46,76.64
"Newry, Mourne and Down",Rural,N00003861,Spelga,1877,1368,2585,2618,2149,388,1284,3103,0.16,0.17,453,42,4,2,6,0,12,27,82.97,7.69,0.73,0.37,1.1,0.0,2.2,4.95,N00003861,621,-6.078472234920364,54.22526535027116,3.48,1.83,1.28,9.52,2.01,4.03,7.51,6.41,0.55,3.48,5.86,74.73
"Newry, Mourne and Down",Rural,N00003862,Spelga,1898,750,2724,2972,3125,565,2140,3351,0.18,0.16,191,161,32,0,11,2,19,15,44.32,37.35,7.42,0.0,2.55,0.46,4.41,3.48,N00003862,406,-6.124709338701121,54.22282228463204,3.25,1.39,1.62,11.6,1.62,4.18,7.19,8.82,1.16,6.96,3.25,73.55
"Newry, Mourne and Down",Urban,N00003863,St Mary's,253,199,550,794,802,2661,220,20,0.24,0.38,173,5,3,0,9,0,17,29,73.31,2.12,1.27,0.0,3.81,0.0,7.2,12.29,N00003863,291,-6.337238311775469,54.17145902464784,6.36,1.27,2.97,15.68,4.24,8.9,12.29,10.17,2.12,9.75,5.51,64.41
"Newry, Mourne and Down",Urban,N00003864,St Mary's,2132,3081,1638,1465,1782,3107,264,2789,0.1,0.23,326,1,0,0,2,2,18,31,85.79,0.26,0.0,0.0,0.53,0.53,4.74,8.16,N00003864,376,-6.3306750612460325,54.16977785935152,7.37,1.84,1.58,12.37,1.32,5.26,12.63,6.84,1.58,5.0,4.47,68.95
"Newry, Mourne and Down",Urban,N00003865,St Mary's,1455,2036,1330,1220,1275,3326,433,691,0.13,0.27,200,8,3,0,1,2,13,28,78.43,3.14,1.18,0.0,0.39,0.78,5.1,10.98,N00003865,248,-6.334410799498964,54.16674776787002,6.27,2.75,9.02,29.02,3.14,9.8,12.94,8.24,7.06,8.24,9.41,52.16
"Newry, Mourne and Down",Urban,N00003866,St Mary's,2263,3005,1629,929,2472,2140,2213,2844,0.1,0.24,303,3,3,0,2,1,15,12,89.38,0.88,0.88,0.0,0.59,0.29,4.42,3.54,N00003866,336,-6.328859359187473,54.16733571589988,6.78,2.36,2.06,15.63,2.65,8.55,12.39,11.8,1.77,8.26,5.01,59.88
"Newry, Mourne and Down",Mixed urban/rural,N00003867,St Mary's,1379,1729,1228,1197,1228,1613,1399,1615,0.14,0.28,630,5,17,3,7,1,28,32,87.14,0.69,2.35,0.41,0.97,0.14,3.87,4.43,N00003867,740,-6.3242149646159715,54.162149722752176,4.29,0.97,1.52,14.38,2.35,7.88,10.37,9.68,1.94,5.26,5.39,67.63
"Newry, Mourne and Down",Urban,N00003868,St Mary's,1859,1789,1643,1678,1495,2386,2859,1068,0.14,0.23,302,0,2,0,2,1,12,32,86.04,0.0,0.57,0.0,0.57,0.28,3.42,9.12,N00003868,349,-6.32760457718399,54.16314028480574,3.42,1.99,0.0,14.53,0.85,4.27,10.83,11.97,1.14,5.98,5.7,70.66
"Newry, Mourne and Down",Urban,N00003869,St Patrick's_1,1704,2856,1208,1399,1830,2359,310,1161,0.11,0.28,939,28,19,5,25,11,66,133,76.59,2.28,1.55,0.41,2.04,0.9,5.38,10.85,N00003869,1170,-6.325874618809163,54.178678175602265,5.06,3.43,3.59,14.03,2.69,7.99,9.71,9.46,4.89,7.34,4.73,69.25
"Newry, Mourne and Down",Urban,N00003870,St Patrick's_1,438,92,1280,1367,1180,2753,126,626,0.27,0.27,191,4,7,0,5,0,15,32,75.2,1.57,2.76,0.0,1.97,0.0,5.91,12.6,N00003870,222,-6.330636452063842,54.17719888626755,5.91,3.54,2.36,11.42,3.54,8.66,8.27,8.27,2.76,8.66,3.94,65.35
"Newry, Mourne and Down",Urban,N00003871,St Patrick's_1,3691,2364,3465,3809,3340,1933,4385,3585,0.12,0.12,616,9,12,5,14,0,26,48,84.38,1.23,1.64,0.68,1.92,0.0,3.56,6.58,N00003871,802,-6.321642123043754,54.18107213815724,2.33,0.41,0.96,6.16,0.96,3.7,6.3,4.66,1.37,3.29,3.7,80.27
"Newry, Mourne and Down",Urban,N00003872,St Patrick's_2,346,535,544,868,640,3215,20,46,0.2,0.38,205,4,3,0,2,1,21,42,73.74,1.44,1.08,0.0,0.72,0.36,7.55,15.11,N00003872,312,-6.335200289924584,54.177208171405184,6.12,2.88,0.72,11.51,1.08,7.55,13.67,8.99,2.16,6.47,5.04,64.39
"Newry, Mourne and Down",Urban,N00003873,St Patrick's_2,1302,1019,1276,1112,1912,2602,1275,1013,0.17,0.27,913,17,5,2,12,1,26,66,87.62,1.63,0.48,0.19,1.15,0.1,2.5,6.33,N00003873,971,-6.325806066758391,54.172414714729314,4.51,2.21,2.4,15.83,1.44,8.25,11.42,9.98,3.65,8.25,8.73,62.48
"Newry, Mourne and Down",Rural,N00003874,Tullyhappy,2061,1111,2349,3540,2432,589,2663,3268,0.17,0.18,189,177,67,9,46,8,13,24,35.46,33.21,12.57,1.69,8.63,1.5,2.44,4.5,N00003874,574,-6.405663709592232,54.22828807413482,4.13,2.06,0.38,9.01,0.94,2.06,7.13,4.88,0.38,4.5,4.13,76.55
"Newry, Mourne and Down",Rural,N00003875,Tullyhappy,1174,414,1668,2358,2082,823,2317,2167,0.21,0.23,354,15,8,0,6,0,2,33,84.69,3.59,1.91,0.0,1.44,0.0,0.48,7.89,N00003875,465,-6.492806402293899,54.21327339271304,2.63,0.48,2.63,7.42,2.39,5.5,5.98,10.29,1.2,4.78,3.83,72.97
"Newry, Mourne and Down",Rural,N00003876,Tullyhappy,1078,172,2727,3502,2657,277,1495,3514,0.24,0.16,369,129,47,3,10,1,15,18,62.33,21.79,7.94,0.51,1.69,0.17,2.53,3.04,N00003876,694,-6.443260175307876,54.20518588610482,3.55,0.84,1.01,7.09,2.53,2.7,6.08,6.08,1.01,3.55,4.22,77.2
"Newry, Mourne and Down",Rural,N00003877,Tullyhappy,2648,2086,3497,2961,2412,936,739,2681,0.13,0.12,122,117,73,16,24,1,13,7,32.71,31.37,19.57,4.29,6.43,0.27,3.49,1.88,N00003877,349,-6.363985631524984,54.21039753120717,5.36,1.34,1.07,11.26,0.54,3.22,10.72,7.51,1.61,5.09,4.29,74.8
"Newry, Mourne and Down",Rural,N00003878,Tullyhappy,2011,811,4010,4135,2315,301,1458,3214,0.18,0.1,218,165,25,0,35,0,11,24,45.61,34.52,5.23,0.0,7.32,0.0,2.3,5.02,N00003878,463,-6.455084345989973,54.241106236636625,2.72,0.84,0.84,6.69,2.09,2.93,6.9,5.65,1.26,4.81,2.72,78.24
"Newry, Mourne and Down",Rural,N00003879,Tullyhappy,2362,1719,3366,3521,3179,132,1739,4161,0.14,0.13,283,88,61,8,28,0,12,23,56.26,17.5,12.13,1.59,5.57,0.0,2.39,4.57,N00003879,546,-6.396009704679489,54.25617438756578,2.39,0.6,2.39,9.54,2.39,2.58,6.56,5.17,1.39,4.77,4.17,74.55
"Newry, Mourne and Down",Rural,N00003880,Tullyhappy,2461,1018,3349,2767,3497,865,3547,3164,0.17,0.13,373,46,17,0,2,0,17,14,79.53,9.81,3.62,0.0,0.43,0.0,3.62,2.99,N00003880,468,-6.356199398514303,54.22543097887107,4.9,2.13,0.85,9.59,0.43,4.05,7.89,6.61,1.92,6.82,2.77,74.2
"Newry, Mourne and Down",Urban,N00003881,Windsor Hill_1,3137,2901,2048,2826,3802,1593,2212,3704,0.11,0.2,406,18,6,3,16,1,25,16,82.69,3.67,1.22,0.61,3.26,0.2,5.09,3.26,N00003881,510,-6.3185008709106265,54.18562860088242,4.68,2.44,5.09,8.76,5.09,3.05,4.68,6.31,1.43,8.35,3.46,73.52
"Newry, Mourne and Down",Urban,N00003882,Windsor Hill_1,4099,4403,3118,2950,3555,2601,3370,3988,0.04,0.14,255,8,8,1,1,0,14,17,83.88,2.63,2.63,0.33,0.33,0.0,4.61,5.59,N00003882,314,-6.322528804071367,54.18716729906499,6.91,1.97,1.32,11.18,1.32,3.29,7.24,8.22,0.99,5.26,6.91,67.76
"Newry, Mourne and Down",Urban,N00003883,Windsor Hill_1,3466,2608,3008,3422,3719,2507,1426,2349,0.12,0.15,629,24,34,2,15,9,37,69,76.8,2.93,4.15,0.24,1.83,1.1,4.52,8.42,N00003883,786,-6.330070418397167,54.183642218711476,4.64,2.81,3.66,8.91,4.03,4.03,6.96,5.98,1.95,4.76,5.49,74.97
"Newry, Mourne and Down",Urban,N00003884,Windsor Hill_2,2275,2131,2279,1787,2193,2248,1579,841,0.13,0.18,435,102,62,16,13,16,61,42,58.23,13.65,8.3,2.14,1.74,2.14,8.17,5.62,N00003884,801,-6.33480371673594,54.190123005225566,4.55,2.54,5.89,15.8,2.14,10.98,10.71,8.03,6.69,7.23,5.62,63.72
"Newry, Mourne and Down",Urban,N00003885,Windsor Hill_2,1844,2725,1547,1126,941,2475,3545,1464,0.11,0.24,141,67,45,3,7,6,38,30,41.84,19.88,13.35,0.89,2.08,1.78,11.28,8.9,N00003885,350,-6.338564816110066,54.19413730221114,4.75,2.67,1.19,15.43,0.89,6.82,14.84,8.61,1.78,6.82,6.82,63.2
"Newry, Mourne and Down",Urban,N00003886,Windsor Hill_2,1533,2548,935,1042,1842,1787,3354,629,0.12,0.31,171,45,36,4,6,11,24,8,56.07,14.75,11.8,1.31,1.97,3.61,7.87,2.62,N00003886,304,-6.3428238106170864,54.19338734829232,4.26,1.97,0.98,12.79,1.97,7.54,10.82,10.16,1.97,7.87,5.25,66.89
Antrim and Newtownabbey,Urban,N00003887,Abbey_1,1837,1741,1289,1679,1450,3729,1769,2418,0.14,0.27,42,95,98,41,81,8,115,36,8.14,18.41,18.99,7.95,15.7,1.55,22.29,6.98,N00003887,496,-5.904047172811945,54.665905936406496,7.36,2.13,1.74,15.89,1.36,6.01,13.57,11.43,1.16,10.47,7.36,59.11
Antrim and Newtownabbey,Urban,N00003888,Abbey_1,4046,4242,4208,4316,4247,4153,231,704,0.06,0.08,49,60,33,15,17,5,56,5,20.42,25.0,13.75,6.25,7.08,2.08,23.33,2.08,N00003888,256,-5.909920815841735,54.65446174755244,5.83,1.25,1.25,7.08,1.25,3.33,7.08,5.0,1.25,4.58,5.0,75.0
Antrim and Newtownabbey,Urban,N00003889,Abbey_1,2728,2515,1835,1940,2805,3697,2439,2039,0.12,0.22,132,72,53,16,40,10,69,37,30.77,16.78,12.35,3.73,9.32,2.33,16.08,8.62,N00003889,442,-5.9000043545910135,54.67185584056059,6.53,1.63,5.36,25.17,2.56,13.05,15.15,10.26,9.56,13.52,9.09,56.18
Antrim and Newtownabbey,Urban,N00003890,Abbey_1,1459,3658,781,1635,425,3113,2916,868,0.08,0.34,109,46,19,9,17,2,32,22,42.58,17.97,7.42,3.52,6.64,0.78,12.5,8.59,N00003890,332,-5.903076996430379,54.6720977696857,12.11,3.91,2.73,19.53,2.73,5.86,16.8,12.5,4.3,9.38,9.77,56.64
Antrim and Newtownabbey,Urban,N00003891,Abbey_2,2602,2854,2804,2312,1292,4000,980,715,0.11,0.16,25,69,45,29,33,7,71,37,7.91,21.84,14.24,9.18,10.44,2.22,22.47,11.71,N00003891,288,-5.91091369173142,54.67527013482269,6.01,2.22,0.63,10.76,1.27,4.75,12.03,8.86,1.58,7.59,3.8,67.41
Antrim and Newtownabbey,Urban,N00003892,Abbey_2,2344,1755,2434,1704,1397,3773,4220,1532,0.14,0.17,23,82,31,22,40,3,38,17,8.98,32.03,12.11,8.59,15.63,1.17,14.84,6.64,N00003892,283,-5.909548868999656,54.67497703427586,6.25,3.13,1.56,14.84,3.91,4.3,12.89,10.55,2.34,9.38,8.2,63.28
Antrim and Newtownabbey,Urban,N00003893,Abbey_2,1770,1083,1937,1743,1672,3072,3047,1037,0.17,0.21,45,41,33,18,34,7,49,21,18.15,16.53,13.31,7.26,13.71,2.82,19.76,8.47,N00003893,288,-5.906198989115319,54.67469453882001,6.85,2.42,1.61,14.92,2.42,4.44,11.29,12.1,2.02,8.87,2.82,63.71
Antrim and Newtownabbey,Urban,N00003894,Abbey_2,1685,1880,1296,1625,1513,3450,1255,819,0.14,0.27,30,62,35,25,33,6,59,24,10.95,22.63,12.77,9.12,12.04,2.19,21.53,8.76,N00003894,281,-5.90848176537519,54.671005219500785,6.57,3.65,2.92,13.87,8.76,8.76,10.22,13.14,3.65,11.31,3.65,60.22
Antrim and Newtownabbey,Urban,N00003895,Abbey_2,2548,2773,2345,2041,1509,3551,674,2504,0.11,0.18,54,72,30,14,17,8,57,27,19.35,25.81,10.75,5.02,6.09,2.87,20.43,9.68,N00003895,254,-5.90831004250938,54.6743446653553,5.38,1.43,0.36,11.11,1.79,3.58,9.32,9.32,0.0,7.89,4.66,69.53
Antrim and Newtownabbey,Urban,N00003896,Ballyclare North_1,1530,2455,945,943,964,3615,3909,1342,0.12,0.31,35,345,144,43,52,2,93,57,4.54,44.75,18.68,5.58,6.74,0.26,12.06,7.39,N00003896,841,-6.007434727831854,54.75324896142021,9.6,3.89,6.1,23.99,7.26,9.21,16.99,15.82,2.59,11.8,5.19,50.19
Antrim and Newtownabbey,Urban,N00003897,Ballyclare North_1,874,1754,889,810,199,2250,3465,1419,0.14,0.32,14,74,68,17,22,5,60,21,4.98,26.33,24.2,6.05,7.83,1.78,21.35,7.47,N00003897,320,-6.015917464661939,54.75449320884215,3.91,0.36,2.14,6.41,4.63,7.83,6.05,12.46,0.71,3.91,3.2,69.75
Antrim and Newtownabbey,Urban,N00003898,Ballyclare North_1,4349,3442,3771,4386,4333,2449,4201,4214,0.09,0.11,7,146,57,41,52,2,52,15,1.88,39.25,15.32,11.02,13.98,0.54,13.98,4.03,N00003898,421,-6.023192182558492,54.750254492126416,1.88,1.08,0.54,7.53,0.54,1.61,5.91,7.8,0.54,6.18,2.15,78.23
Antrim and Newtownabbey,Urban,N00003899,Ballyclare North_1,4005,2312,3807,3877,4159,3176,4383,2990,0.12,0.11,17,167,65,26,29,3,39,16,4.7,46.13,17.96,7.18,8.01,0.83,10.77,4.42,N00003899,324,-6.014128797623704,54.750097367735854,4.7,1.93,0.55,5.25,1.93,2.49,5.25,6.08,0.55,4.42,5.52,74.86
Antrim and Newtownabbey,Urban,N00003900,Ballyclare North_2,1204,2766,1127,1135,166,3237,4481,652,0.11,0.29,5,117,51,19,21,1,46,20,1.79,41.79,18.21,6.79,7.5,0.36,16.43,7.14,N00003900,253,-6.004504229242126,54.759768566017065,5.0,0.71,0.71,10.36,1.07,11.79,11.07,13.21,2.86,6.79,3.93,65.0
Antrim and Newtownabbey,Urban,N00003901,Ballyclare North_2,300,161,755,869,115,3569,3731,804,0.25,0.34,7,99,59,22,13,0,47,20,2.62,37.08,22.1,8.24,4.87,0.0,17.6,7.49,N00003901,260,-6.0040431537315095,54.75840428816637,4.12,1.87,1.12,9.74,3.0,7.49,9.36,8.24,0.75,5.24,5.24,72.66
Antrim and Newtownabbey,Urban,N00003902,Ballyclare North_2,3804,2958,3705,3184,3000,3121,2788,2273,0.1,0.11,3,132,68,40,51,0,41,14,0.86,37.82,19.48,11.46,14.61,0.0,11.75,4.01,N00003902,546,-6.0099675959645955,54.75671373121175,9.74,2.87,3.72,14.9,1.43,6.02,10.6,5.44,7.16,9.74,6.59,63.32
Antrim and Newtownabbey,Urban,N00003903,Ballyclare North_2,4447,3412,4490,4400,3874,2827,4515,3994,0.09,0.05,23,230,112,67,87,3,110,26,3.5,34.95,17.02,10.18,13.22,0.46,16.72,3.95,N00003903,686,-6.002756337595623,54.76339655095054,2.74,0.61,0.61,3.65,0.91,1.82,3.95,5.93,0.15,2.58,3.34,82.22
Antrim and Newtownabbey,Urban,N00003904,Ballyclare North_2,2508,1044,2891,2853,2568,2213,4152,2760,0.17,0.15,21,243,72,29,51,4,69,22,4.11,47.55,14.09,5.68,9.98,0.78,13.5,4.31,N00003904,572,-6.0080017561388,54.760679628358034,4.7,1.17,0.78,8.61,1.37,4.7,7.83,6.07,0.39,6.46,5.09,71.43
Antrim and Newtownabbey,Urban,N00003905,Ballyclare South_1,1727,2778,1002,1578,844,3183,2833,1801,0.11,0.31,30,101,74,19,10,0,44,16,10.2,34.35,25.17,6.46,3.4,0.0,14.97,5.44,N00003905,272,-6.007400563118409,54.749834217226464,12.24,3.06,3.06,20.75,2.04,5.44,15.31,13.61,3.4,12.24,6.46,54.42
Antrim and Newtownabbey,Urban,N00003906,Ballyclare South_1,1573,1723,1669,1705,647,3956,459,2743,0.14,0.23,14,104,44,9,13,2,31,12,6.11,45.41,19.21,3.93,5.68,0.87,13.54,5.24,N00003906,205,-6.001200220003125,54.754619815722776,2.62,0.44,0.87,13.1,2.18,4.8,11.35,13.97,0.44,5.68,5.68,65.07
Antrim and Newtownabbey,Urban,N00003907,Ballyclare South_1,3065,3617,3253,2660,1763,3094,1224,469,0.08,0.13,12,99,37,33,33,3,71,18,3.92,32.35,12.09,10.78,10.78,0.98,23.2,5.88,N00003907,315,-5.998247456988554,54.75244171922245,5.88,0.65,1.31,7.52,1.96,4.9,8.5,7.19,0.65,9.15,6.86,66.99
Antrim and Newtownabbey,Urban,N00003908,Ballyclare South_1,755,2782,395,531,354,3682,635,1645,0.11,0.41,8,96,21,20,11,0,31,8,4.1,49.23,10.77,10.26,5.64,0.0,15.9,4.1,N00003908,206,-6.002218618896037,54.74939852280032,9.74,5.13,3.08,25.64,2.56,12.31,17.44,18.46,5.64,14.87,9.23,43.59
